 [ 1.26454513 -2.09357475]
 [ 1.74481165  1.07891321]
 [ 5.44670234  1.90505491]
 [ 0.86787463 -0.23924444]
 [ 4.67118921  1.10851409]
 [ 1.68339025  4.64804163]
 [ 3.07078718  1.71333176]
 [ 6.31644833  0.29879597]
 [ 2.75895492  0.33458855]
 [ 0.82816033  1.10190094]
 [-0.07715216  4.34888661]
 [ 0.83765675 -1.44370243]
 [ 5.91598083  0.89496321]
 [ 3.96823413  0.2838615 ]
 [ 3.72160113  4.10905267]
 [-0.1755594   3.54271168]
 [ 1.60067589 -0.58277442]
 [ 0.77885282  6.29954658]
 [ 1.957079    1.55992996]
 [ 1.9073962  -1.3287513 ]
 [ 0.64789523  1.37151009]
 [ 4.24700156  1.53211954]
 [ 1.52062086  3.55033491]
 [ 3.17311123  6.13440999]
 [ 3.02977333  2.10708487]
 [ 0.25725    -1.09492977]
 [ 1.7339464  -0.07380549]
 [ 2.270474    1.88575091]
 [ 5.0534697   2.16359779]
 [ 4.81567889  1.34470171]
 [ 2.861219    3.25419161]
 [ 3.270543    4.09973493]
 [ 2.86100934  4.6586832 ]
 [-0.61475695 -1.3575985 ]
 [ 2.83163258  1.34714267]
 [ 2.00322458  4.5285311 ]
 [ 0.67391624  2.12733319]
 [ 5.97766054  1.93906399]
 [ 0.50219704 -0.20480718]
 [ 4.40892466  2.21025026]
 [ 0.51069824 -0.20053555]
 [ 4.72631659  3.38948001]
 [ 4.83629935  1.76371557]
 [ 5.17318979  1.23398469]
 [ 1.52859695  4.26202411]
 [ 1.08220464  0.07439866]
 [ 1.90729128  0.11660842]
 [ 6.07745726  3.4251346 ]
 [ 0.50355459  0.90785338]
 [ 4.31875539  1.49126406]
 [ 2.08603298  4.81963696]
 [ 0.93466941  6.47932821]
 [ 0.51723783  1.9354591 ]
 [ 1.38889947 -1.5665921 ]
 [ 7.71662188  1.36646027]
 [ 1.04287951 -0.6766773 ]
 [ 4.71135563  1.63255168]
 [ 4.39878154  3.43927266]
 [ 4.43678634  2.03635375]
 [ 0.98282441 -0.49628085]
 [ 6.90455981  2.75771932]
 [ 1.72508104  6.68045375]
 [ 3.46502891  5.02668228]
 [-0.52439665 -0.47983431]
 [ 4.8279723   1.96626586]
 [ 2.32573535 -1.82594273]
 [ 0.81133608 -1.54072436]
 [ 1.02390369  0.42630263]
 [ 0.16812106 -0.1402788 ]
 [ 4.67602173  3.12333492]
 [ 0.82546432  5.22779591]
 [ 1.26256603  4.30629374]
 [ 0.85022142  0.68385046]
 [ 6.33714723  2.63474145]
 [ 1.89424125  5.99976017]
 [ 7.57643144  1.47168708]
 [ 2.58857881  4.04330768]
 [ 4.49702132  1.72464079]
 [ 0.64188893 -1.37157002]
 [ 4.56106902  0.93156062]
 [ 1.72267412  4.93874848]
 [ 6.44784321  2.43221813]
 [-0.60005626  0.34871482]
 [ 2.71564214  5.57448448]
 [ 4.2043867   2.82521556]
 [ 2.86661174  4.33425521]
 [ 5.36740725  2.49218638]
 [ 0.72721685  5.07016252]
 [ 3.00406709 -1.28280051]
 [ 4.07290464  1.82986708]
 [ 3.65865953  1.2475891 ]
 [ 4.15483251  4.70090715]
 [ 1.68188007  4.47668945]
 [ 2.16998008  5.16400495]
 [ 0.09227367  0.22273142]
 [ 1.7969193  -0.49864798]
 [ 1.66564972  6.19868855]
 [ 1.85579724  6.84113702]
 [ 5.65734293  1.88359776]
 [ 3.99825759  0.29355385]
 [ 1.69649627  0.622854  ]
 [ 2.39625433  1.36161962]
 [ 3.48219058  4.14447181]
 [ 3.97073722  5.57653005]
 [ 2.59212258 -0.60335781]
 [ 2.29053257  3.75767182]
 [ 0.86432251 -0.06027673]
 [ 2.21597513  6.45834862]
 [-1.57046105 -0.27090128]
 [ 1.81625405  0.9126173 ]
 [ 1.73281541  0.97600535]
 [ 7.55367359  0.61624291]
 [ 2.01286289  5.29361217]
 [ 1.60658474  5.96997216]
 [ 0.45039899 -2.7278263 ]
 [ 1.34738424  4.03792053]
 [ 2.22798009  5.67054421]
 [ 4.35712151  0.28117224]
 [ 2.69035649  6.22982613]
 [-0.55693028 -1.22927104]
 [ 6.46403879  1.56840538]
 [ 5.68721191  2.03445189]
 [ 4.76532089  2.87287338]
 [ 1.46797538  0.08314547]
 [ 4.12504944  3.09384228]
 [ 1.38741764  0.12503143]
 [-0.61364831  1.57165039]
 [ 5.81129398  0.05676332]
 [ 1.32603636  4.36460166]
 [ 5.02147293  3.34831563]
 [ 2.2252268   4.16504997]
 [ 1.46003452  5.058911  ]
 [ 0.03385227  1.24381484]
 [ 3.77225361  2.13028454]
 [ 0.2784016  -0.46457249]
 [ 1.25739662  6.04301648]
 [ 1.82350478  3.741883  ]
 [ 0.51044833 -1.23795792]
 [ 6.8695964   1.07077272]
 [ 0.22424405 -0.84062464]
 [ 1.46723791 -0.27524228]
 [-1.92228642  0.71202737]
 [ 1.89982008  5.84402551]
 [ 0.45407702  0.45769148]
 [ 4.22245537  3.30727267]
 [ 3.4885471   5.20534983]
 [ 1.27618429 -0.51453739]
 [ 6.43116297  1.41608049]
 [ 3.18887462  5.18462561]
 [ 3.04936491 -1.91749425]
 [ 1.9290502   0.82370195]
 [ 3.34348822  5.25417091]
 [ 0.20726464 -0.52633978]
 [ 6.05327114  0.74988345]
 [ 2.96676364  2.91288983]
 [ 1.56620395  0.56924559]
 [ 2.13527939  4.62400034]
 [ 1.97887265  5.98760767]
 [ 5.33340359  2.68537009]
 [-0.27860072  6.19264902]
 [ 5.96767515  2.37763354]
 [ 6.21410987  2.6401622 ]
 [ 1.63609936 -1.29179095]
 [-0.81222371 -0.34617712]
 [ 2.9067355   1.19057171]
 [ 1.99425311  4.32734116]
 [ 1.84511503  6.71703347]
 [ 5.19288927  2.55873672]
 [ 2.20971348  3.22626668]
 [ 5.99772257  2.90642861]
 [ 0.17978075  0.30274783]
 [ 1.56699547  2.63661457]
 [ 2.02879525 -0.35537305]
 [ 5.46505737  0.55798423]
 [ 2.4777034   4.01220067]
 [ 3.50631929  3.33319761]
 [ 6.0673863   3.46418152]
 [ 3.7653162   1.51765803]
 [ 5.8258551   2.41772652]
 [ 2.65744511  6.89358715]
 [ 4.16741536  3.65126121]
 [ 2.10078494  7.18747158]
 [ 4.98282031  1.59296084]
 [ 1.76891947  4.28206753]
 [ 2.54383184  5.2334149 ]
 [ 1.18507644  4.96944911]]
